team1,team2,team1_win_rate,team2_win_rate,head_to_head_win_rate,team1_recent_form,team2_recent_form,team1_venue_win_rate,team2_venue_win_rate,team1_avg_runs_last_5,team2_avg_runs_last_5,team1_avg_wicket_last_5,team2_avg_wicket_last_5,avg_first_innings_score,chasing_success_rate,toss_winner,toss_decision,temperature,humidity,rain_probability,venue,pitch_type,win
Birmingham Phoenix Women,Trent Rockets Women,20.0,60.0,40.0,3,3,20.0,50.0,115.6,140.4,6.4,5.8,117.0,83.33333333333334,Birmingham Phoenix Women,Bat,24.8,62.0,45.0,Edgbaston,Balanced,1
Sunrisers Leeds Women,London Spirit Women,70.0,40.0,0.0,3,1,50.0,50.0,126.6,125.0,5.6,6.2,129.0,40.0,Sunrisers Leeds Women,Bat,20.3,66.0,60.0,Headingley,Balanced,1
Southern Brave Women,Welsh Fire Women,90.0,20.0,60.0,1,3,70.0,40.0,111.4,119.6,6.8,4.8,134.0,50.0,Welsh Fire Women,Bowl,20.5,80.0,14.0,The Rose Bowl,Balanced,1
Trent Rockets Women,MI London Women,60.0,20.0,0.0,3,2,30.0,100.0,138.6,100.8,6.2,5.4,133.0,50.0,Mi London Women,Bowl,20.4,63.0,40.0,Trent Bridge,Balanced,1
Birmingham Phoenix Women,Manchesters Super Giants Women,20.0,60.0,0.0,3,2,20.0,100.0,112.6,124.0,6.6,5.6,116.0,85.71428571428571,Birmingham Phoenix Women,Bat,19.6,82.0,87.0,Edgbaston,Balanced,1
MI London Women,London Spirit Women,20.0,40.0,0.0,3,2,20.0,50.0,106.4,116.0,4.4,5.8,120.0,55.55555555555556,London Spirit Women,Bowl,23.0,35.0,1.0,Kennington Oval,Balanced,1
Welsh Fire Women,London Spirit Women,20.0,40.0,50.0,4,3,33.33333333333333,40.0,117.6,116.6,4.0,4.4,128.0,62.5,Welsh Fire Women,Bowl,23.0,43.0,1.0,Lords,Balanced,1
Trent Rockets Women,Southern Brave Women,70.0,90.0,0.0,2,3,30.0,100.0,135.8,135.4,6.4,6.8,126.0,42.85714285714285,Trent Rockets Women,Bowl,18.0,74.0,57.0,Trent Bridge,Balanced,1
Manchesters Super Giants Women,Welsh Fire Women,20.0,60.0,0.0,1,2,30.0,50.0,124.0,145.2,6.6,3.8,119.0,85.71428571428571,Manchesters Super Giants Women,,16.3,89.0,75.0,Sophia Gardens,Balanced,0
London Spirit Women,MI London Women,40.0,20.0,0.0,2,5,40.0,66.66666666666666,105.0,114.4,6.8,3.0,95.0,25.0,London Spirit Women,,17.2,90.0,10.0,Lords,Balanced,0
Sunrisers Leeds Women,Birmingham Phoenix Women,70.0,20.0,0.0,3,2,50.0,33.33333333333333,136.4,112.4,6.0,6.6,134.0,28.57142857142857,Sunrisers Leeds Women,Bowl,20.5,62.0,80.0,Headingley,Balanced,0
Southern Brave Women,Welsh Fire Women,90.0,20.0,100.0,3,1,70.0,40.0,142.4,119.0,6.4,7.2,126.0,25.0,Southern Brave Women,Bowl,19.0,74.0,96.0,The Rose Bowl,Balanced,1
Manchesters Super Giants Women,London Spirit Women,60.0,40.0,0.0,2,2,20.0,66.66666666666666,139.2,105.0,5.0,6.8,125.31395348837208,54.66247415375321,Manchesters Super Giants Women,,14.0,84.0,10.0,Emirates Old Trafford,Balanced,0
Birmingham Phoenix Women,Trent Rockets Women,20.0,70.0,33.33333333333333,1,2,20.0,50.0,111.0,139.4,7.8,6.2,125.31395348837208,54.662474153753216,Birmingham Phoenix Women,,11.5,92.0,94.0,Edgbaston,Balanced,1
Southern Brave Women,Sunrisers Leeds Women,90.0,70.0,0.0,2,3,70.0,0.0,154.0,135.6,8.2,4.6,125.31395348837208,54.66247415375323,Sunrisers Leeds Women,Bowl,14.8,85.0,98.0,The Rose Bowl,Balanced,0
MI London Women,Welsh Fire Women,20.0,20.0,0.0,5,2,20.0,66.66666666666666,114.4,120.4,3.0,8.4,125.31395348837208,54.66247415375323,Welsh Fire Women,Bowl,14.2,84.0,10.0,Kennington Oval,Balanced,1
Manchesters Super Giants Women,Birmingham Phoenix Women,60.0,20.0,0.0,2,1,20.0,66.66666666666666,139.2,111.0,5.0,7.8,125.31395348837208,54.66247415375323,Manchesters Super Giants Women,Bowl,17.0,56.0,49.0,Emirates Old Trafford,Balanced,0
London Spirit Women,Southern Brave Women,40.0,90.0,0.0,2,3,40.0,57.14285714285714,105.0,149.4,6.8,7.4,125.31395348837208,54.66247415375324,Southern Brave Women,Bowl,17.1,90.0,87.0,Lords,Balanced,1
Trent Rockets Women,Sunrisers Leeds Women,70.0,70.0,0.0,2,3,30.0,100.0,139.4,126.0,6.2,5.2,125.31395348837208,54.66247415375324,Sunrisers Leeds Women,Bat,21.6,58.0,17.0,Trent Bridge,Balanced,1
MI London Women,Manchesters Super Giants Women,20.0,60.0,0.0,4,2,20.0,33.33333333333333,107.4,126.2,4.0,5.6,80.0,100.0,Manchesters Super Giants Women,Bowl,24.5,47.0,15.0,Kennington Oval,Balanced,0
Birmingham Phoenix Women,Welsh Fire Women,20.0,20.0,50.0,0,3,20.0,66.66666666666666,97.8,115.0,9.0,7.8,124.8318901533894,100.0,Birmingham Phoenix Women,Bowl,25.8,65.0,25.0,Edgbaston,Balanced,1
Sunrisers Leeds Women,MI London Women,70.0,20.0,0.0,3,4,50.0,0.0,120.6,111.6,5.4,5.0,124.8318901533894,55.61694838209527,Sunrisers Leeds Women,Bat,23.4,53.0,1.0,Headingley,Balanced,0
London Spirit Women,Trent Rockets Women,40.0,70.0,0.0,2,1,40.0,100.0,102.6,136.0,5.8,6.8,104.0,100.0,Trent Rockets Women,Bowl,19.5,71.0,87.0,Lords,Balanced,1
Welsh Fire Women,Southern Brave Women,20.0,90.0,25.0,4,3,30.0,80.0,118.6,124.0,7.4,6.4,124.61712839923077,56.07450561526954,Welsh Fire Women,Bowl,18.5,85.0,75.0,Sophia Gardens,Balanced,1
